,0,1,2,3,4
0,2,868,2561,1440,3118
1,3,870,2562,1434,3121
2,4,865,2565,1431,3124
3,5,861,2568,1430,3126
4,6,861,2570,1428,3126
5,7,860,2570,1428,3124
6,8,862,2567,1428,3123
7,9,862,2564,1429,3123
8,10,864,2560,1430,3119
9,11,864,2556,1433,3116
10,12,870,2551,1433,3113
11,13,870,2545,1435,3108
12,14,868,2540,1434,3103
13,15,868,2534,1433,3100
14,16,864,2529,1432,3097
15,17,860,2524,1429,3092
16,18,850,2521,1426,3084
17,19,843,2519,1417,3076
18,20,838,2513,1409,3070
19,21,831,2508,1403,3066
20,22,822,2502,1392,3063
21,23,809,2496,1384,3059
22,24,802,2490,1372,3055
23,25,795,2488,1367,3052
24,26,786,2485,1356,3051
25,27,776,2482,1344,3049
26,28,764,2479,1330,3046
27,29,749,2478,1320,3044
28,30,738,2478,1305,3047
29,31,723,2480,1293,3045
30,32,708,2479,1277,3045
31,33,697,2480,1264,3046
32,34,683,2477,1252,3048
33,35,669,2475,1238,3045
34,36,655,2474,1222,3044
35,37,639,2476,1210,3044
36,38,625,2478,1196,3043
37,39,611,2478,1182,3044
38,40,601,2479,1168,3043
39,41,589,2479,1154,3044
40,42,571,2478,1153,3021
41,48,1201,1418,1542,1727
42,49,1260,1331,1565,1623
43,50,1314,1271,1584,1541
44,51,1351,1227,1605,1474
45,52,1381,1196,1618,1425
46,53,1409,1177,1632,1394
47,54,1433,1160,1641,1367
48,55,1452,1152,1652,1343
49,56,1470,1152,1654,1334
50,57,1484,1158,1660,1326
51,58,1497,1166,1657,1329
52,59,1498,1178,1656,1339
53,60,1496,1198,1655,1347
54,61,1493,1216,1640,1360
55,62,1489,1239,1631,1374
56,63,1474,1256,1620,1385
57,64,1471,1279,1605,1401
58,70,1321,1361,1444,1478
59,73,788,1369,1943,2002
60,74,797,1319,1979,1956
61,78,1588,1787,1737,1943
62,79,1616,1727,1764,1856
63,80,1659,1662,1790,1800
64,81,1689,1605,1830,1742
65,82,1728,1552,1864,1687
66,83,1767,1499,1895,1633
67,84,1805,1451,1931,1588
68,85,1837,1398,1981,1536
69,86,1880,1357,2024,1489
70,87,1926,1318,2057,1443
71,88,1960,1277,2103,1408
72,89,2007,1243,2138,1375
73,90,2049,1209,2159,1340
74,91,2083,1180,2159,1316
75,92,2116,1159,2159,1287
